"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.408096017E2,4.820949255E1,1.162340919E1,4.935071792E2,1.774276924E1,1.986682434E2,9.878974964E0,8.001208274E0,8.001208274E0,0.000000000E0
5.418096020E2,4.820935561E1,1.162331803E1,4.937046199E2,1.746682167E1,1.986682434E2,9.895383534E0,8.001208274E0,8.001208274E0,0.000000000E0
5.428096029E2,4.820921849E1,1.162323618E1,4.939069707E2,1.736286163E1,1.986682434E2,9.911761992E0,8.001208274E0,8.001208274E0,0.000000000E0
5.438096049E2,4.820907863E1,1.162316683E1,4.951490193E2,1.736286163E1,1.979453735E2,9.928607201E0,8.001208274E0,8.001208274E0,0.000000000E0
5.448096055E2,4.820893120E1,1.162311458E1,4.952914518E2,1.719658089E1,1.979453735E2,9.944818162E0,8.001208274E0,8.001208274E0,0.000000000E0
5.458096062E2,4.820879934E1,1.162302126E1,4.950953069E2,1.674280739E1,1.985151062E2,9.961661924E0,8.001208274E0,8.001208274E0,0.000000000E0
5.468096074E2,4.820865166E1,1.162297067E1,4.950539395E2,1.639145851E1,1.985151062E2,9.978095270E0,8.001208274E0,8.001208274E0,0.000000000E0
5.478096077E2,4.820851574E1,1.162288360E1,4.952017437E2,1.639145851E1,1.985151062E2,9.992525193E0,8.001208274E0,8.001208274E0,0.000000000E0
5.488096083E2,4.820839829E1,1.162280079E1,4.953016132E2,1.633260536E1,1.985151062E2,1.000670313E1,8.001208274E0,8.001208274E0,0.000000000E0
5.498096093E2,4.820827595E1,1.162274687E1,4.953882847E2,1.581516361E1,1.985151062E2,1.001973616E1,8.001208274E0,8.001208274E0,0.000000000E0
5.508096105E2,4.820816898E1,1.162267497E1,4.954339209E2,1.531998348E1,1.985151062E2,1.003473308E1,8.001208274E0,8.001208274E0,0.000000000E0
5.518096108E2,4.820804400E1,1.162259891E1,4.954166766E2,1.544834614E1,1.985151062E2,1.005100283E1,6.000906205E0,6.000906205E0,0.000000000E0
5.528096128E2,4.820790522E1,1.162252934E1,4.953613938E2,1.542053699E1,1.985151062E2,1.006492801E1,6.000906205E0,6.000906205E0,0.000000000E0
5.538096132E2,4.820778334E1,1.162248615E1,4.954212891E2,1.542053699E1,1.985148773E2,1.008043865E1,6.000906205E0,6.000906205E0,0.000000000E0
5.548096142E2,4.820764842E1,1.162243300E1,4.954858358E2,1.541905403E1,1.985148773E2,1.009700369E1,6.000906205E0,6.000906205E0,0.000000000E0
5.558096149E2,4.820750802E1,1.162235826E1,4.956485161E2,1.565879154E1,1.985148773E2,1.011262759E1,6.000906205E0,6.000906205E0,0.000000000E0
5.568096159E2,4.820737339E1,1.162229791E1,4.958029921E2,1.560340405E1,1.985148773E2,1.012234290E1,6.000906205E0,6.000906205E0,0.000000000E0
5.578096167E2,4.820728860E1,1.162226627E1,4.958322825E2,1.565879154E1,1.985148773E2,1.014642209E1,6.000906205E0,6.000906205E0,0.000000000E0
5.588096172E2,4.820708252E1,1.162216648E1,4.957712161E2,1.586183071E1,1.990640106E2,1.016324822E1,6.000906205E0,6.000906205E0,0.000000000E0
5.598096178E2,4.820693575E1,1.162211118E1,4.959776950E2,1.647502899E1,1.996028595E2,1.018126962E1,6.000906205E0,6.000906205E0,0.000000000E0
5.608096189E2,4.820677826E1,1.162205379E1,4.963316131E2,1.647502899E1,2.002132111E2,1.020004902E1,6.000906205E0,6.000906205E0,0.000000000E0
5.618096192E2,4.820662680E1,1.162194169E1,4.965172979E2,1.706838608E1,2.002132111E2,1.022012173E1,6.000906205E0,6.000906205E0,0.000000000E0
5.628096201E2,4.820646249E1,1.162182950E1,4.966040915E2,1.929691124E1,2.002132111E2,1.023973080E1,6.000906205E0,6.000906205E0,0.000000000E0
5.638096216E2,4.820629662E1,1.162173967E1,4.968565574E2,2.033130264E1,1.987450562E2,1.025938413E1,6.000906205E0,6.000906205E0,0.000000000E0
5.648096217E2,4.820613123E1,1.162164613E1,4.971235033E2,2.020669174E1,1.987450562E2,1.028103264E1,6.000906205E0,6.000906205E0,0.000000000E0
5.658096232E2,4.820594293E1,1.162157191E1,4.972992823E2,2.020669174E1,1.984863586E2,1.030351052E1,6.000906205E0,6.000906205E0,0.000000000E0
5.668096231E2,4.820575744E1,1.162145131E1,4.959981406E2,1.998264885E1,1.983399811E2,1.032420548E1,8.001208274E0,8.001208274E0,0.000000000E0
5.678096243E2,4.820558419E1,1.162134930E1,4.949225791E2,2.030915451E1,1.983399811E2,1.034668590E1,8.001208274E0,8.001208274E0,0.000000000E0
5.688096250E2,4.820539594E1,1.162123870E1,4.940812721E2,2.030915451E1,1.983399811E2,1.036787825E1,8.001208274E0,8.001208274E0,0.000000000E0
5.698096255E2,4.820521301E1,1.162115845E1,4.933571642E2,2.052047539E1,1.969159698E2,1.038624917E1,8.001208274E0,8.001208274E0,0.000000000E0
5.708096268E2,4.820505469E1,1.162108757E1,4.927963183E2,2.026986504E1,1.989504852E2,1.040629588E1,6.000906205E0,6.000906205E0,0.000000000E0
5.718096280E2,4.820488440E1,1.162099875E1,4.924339355E2,2.026986504E1,1.977112885E2,1.042630766E1,6.000906205E0,6.000906205E0,0.000000000E0
5.728096274E2,4.820470950E1,1.162093509E1,4.922789927E2,2.009629059E1,1.977112885E2,1.044487045E1,8.001208274E0,8.001208274E0,0.000000000E0
